initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
379.78,475.02,0.06737208366394043,5,23,530.0,549.8,1762534712.1995666,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate', 'swap', '2opt')",True,1
482.81,581.08,0.1477341651916504,8,31,650.0,689.2,1762534712.2849858,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate', 'swap', '2opt')",True,3
379.78,475.02,0.04784870147705078,5,23,530.0,549.8,1762534712.4584348,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate', '2opt')",True,1
482.81,590.03,0.14545106887817383,10,32,660.0,699.6999999999999,1762534712.5201952,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate', '2opt')",True,3
379.78,475.02,0.04344511032104492,5,23,530.0,549.8,1762534712.6855407,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate')",True,1
482.81,590.03,0.1336231231689453,10,32,660.0,699.6999999999999,1762534712.7415228,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate')",True,3
379.78,379.78,0.0,0,18,430.0,502.20000000000005,1762534712.9006093,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('2opt',)",True,1
482.81,482.81,0.0,0,24,550.0,671.9,1762534712.9031174,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('2opt',)",True,3
379.78,475.02,0.056066036224365234,5,23,530.0,549.8,1762534712.90552,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate', 'swap')",True,1
482.81,581.08,0.12824416160583496,8,31,650.0,689.2,1762534712.975668,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('insert', 'relocate', 'swap')",True,3
379.78,379.78,0.0,0,18,430.0,502.20000000000005,1762534713.1281383,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.1,42,"('swap',)",True,1
