initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
709.26,1504.31,2.705451726913452,30,55,1600.0,956.9,1763390039.011999,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,42,"('insert', 'relocate', 'swap', '2opt')",False,3
709.26,1491.6,2.022691011428833,28,55,1590.0,984.0,1763390041.8505726,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,42,"('insert', 'relocate', '2opt')",False,3
709.26,742.59,0.08606696128845215,13,28,800.0,574.1,1763390043.9995117,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,42,"('swap',)",False,3
709.26,1504.31,2.5357658863067627,30,55,1600.0,956.9,1763390044.102639,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,123,"('insert', 'relocate', 'swap', '2opt')",False,3
709.26,1491.6,1.901308536529541,28,55,1590.0,984.0,1763390046.7663507,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,123,"('insert', 'relocate', '2opt')",False,3
709.26,742.59,0.07187199592590332,13,28,800.0,574.1,1763390048.7865608,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,123,"('swap',)",False,3
709.26,1504.31,2.5474376678466797,30,55,1600.0,956.9,1763390048.8707523,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,987,"('insert', 'relocate', 'swap', '2opt')",False,3
709.26,1491.6,1.901437759399414,28,55,1590.0,984.0,1763390051.5508451,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,987,"('insert', 'relocate', '2opt')",False,3
709.26,742.59,0.06656265258789062,13,28,800.0,574.1,1763390053.5609994,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.1,987,"('swap',)",False,3
346.3,1202.05,2.2779183387756348,30,53,1550.0,695.9,1763390053.6398182,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.5,42,"('insert', 'relocate', 'swap', '2opt')",False,3
346.3,1101.95,1.776763916015625,27,52,1510.0,816.1,1763390056.047548,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/c108_cap.json,best,0.5,42,"('insert', 'relocate', '2opt')",False,3
